title,title_link,company,"SOFTWAREARTISAN,WHAT?Experienceworkingoncross-functionalteams—Fusioniskindofabigdealhere.OurSoftwareArtisansaresuccessfulbecausetheyhave",result-link-bar,tt_set,turnstileLink,slNoUnderline,location,date,location1
Electronic Parts Changer - Audio,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHNtoEMJ6Gwqxj8Lq41CH_cjxGxlZvJ0HmqhJuUyETazI9dhcU1SMVOaSid4JDJv6t8LIq4jz81nIjrC9B_ym5SCwxHAeKGcXF3CN7-sv6pdwdsYpWeVUWp3Xp1eC80spTlEZB1NrAWmcHFDGAamZJv1FeXF0Tko8gLovLUPOZ0qBoXcYnJ0gIF59okqZveOSosvCprRbdqxK9ahmz3Bd-Yjq5V277K7WABpkb6z_aEMxQyU2BEt2WD8hejSWLPn0RpxLJ8zug1DiNT-cYiUh0w0twgDEEKfBaHpi_-pqHlbrPmKUVaVPpdZ7x1ySwYvFHQYTTDKo32xq4Lx-iymnFcQRfZHbvhz2E0hyGU19MaHZez81g6D15YrjK9lxQHILDHU0Etb5xxcbhjnWs-MgWRal-ZOMNOFXncUW2Lv5PV6gjOQewl2Z8dN8vJCmQRWLyoQ4En0zxSr7BUDIz-F4u&vjs=3&p=6&fvj=1,Specmo Enterprises,"Our Parts Changers are responsible for replacing components on radio products, software and testing. Excellent attention to detail and organizations skills and...",Sponsored - save job,save job,Specmo Enterprises,10 reviews,,,"Madison Heights, MI"
CAD Drafter,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bm7NXWm8rU-uFQtsfTLkbTFH8uacq66FX5YU0o5M9khuIwOfRHz7VaLP41t_ZVE172nAhhkOnAStECWiL0luuXzEqTr9tfT3bzLPq96iRubPvrkdPDfERt3bnQnJqCvKjnXExEPVAniqOBx1USsXYIrXlpmmWox5Nkn_sXv4fsdWX2rL7KPQIK6YERmxdkYWeehN4HMBlhEBIq8eXinbdq2f44OIWJNyT26Uw5W4DYNdiEqH3stqLSkYtsRvTemvSybk_ekC1nmTsqll_BuqpR5C_GnuxSAAeSebf8bYgzrlrHFSvpH-sPuzIEmE86Q54_xYUm5oGNLHh-rRBpApuIpPOjCQ9E2RqeAInjhcFsQduIwhcQzqXtFIFDcZgU8l1iihX-582EhryqTJOnAb6PMhTGM1tA1xyYZc_SpCPu607vlf3lWg2NBJ8mG24veSM=&vjs=3&p=7&fvj=1,Casco & Sons LLC,"Experience in CAD software. Experience in 3D CAD software a plus. Medical including dental & vision, paid holidays & paid personal days, 401K matching....",Sponsored - 3 days ago   -  save job,-  save job,,,,3 days ago,"Livonia, MI 48150"
Web Development Intern,https://www.indeed.com/rc/clk?jk=3448b0700e037857&fccid=0f6cf215e6238448&vjs=3,Amerisure Insurance,"Basic knowledge in Software Development. Collaborate with information technology staff in the development of software code that is accessible, usable, efficient...",21 days ago   -  save job - more...,-  save job - more...,Amerisure Insurance,32 reviews,"Farmington Hills, MI",21 days ago,
Software Quality Engineer,https://www.indeed.com/rc/clk?jk=c1a66ed2590278b9&fccid=6a1520c3027994ce&vjs=3,Quicken Loans,"We believe in and build inclusive workplaces, where every voice is heard and diverse perspectives are welcomed....",30+ days ago   -  save job - more...,-  save job - more...,Quicken Loans,"1,127 reviews","Detroit, MI",30+ days ago,
Enterprise Application Intern (2 of 2),https://www.indeed.com/rc/clk?jk=e8bbf7b300adc8b0&fccid=9dea9f44f7471a29&vjs=3,Little Caesars,"Quality and value are core values at Little Caesars, but the brand also represents passion, fun, commitment and a focus on family....","Ilitch Holdings, Inc. - 5 months ago   -  save job - more...",-  save job - more...,Little Caesars,"11,041 reviews","Detroit, MI",5 months ago,
Entry Level Computer Technician,"https://www.indeed.com/company/DIGITAL-SOLUTIONS,-INC./jobs/Entry-Level-Computer-Technician-6c67970e6d8fdbd6?fccid=feb37a8d8f351148&vjs=3","DIGITAL SOLUTIONS, INC.",Recommend hardware and software improvements. Provide technical assistance with computer hardware and software. Ability to build rapport with clients....,9 hours ago   -  save job - more...,-  save job - more...,,,"Allen Park, MI 48101",9 hours ago,
IT Quality Assurance Analyst Specialist,https://www.indeed.com/rc/clk?jk=f4dbf8503188bb75&fccid=fcee73a6346b7a5b&vjs=3,Henry Ford Health System,"Utilize Hadoop, Business Objects, MS SQL Server, MS SQL Server Integration Services, MS SQL Server Analysis Services, MS SQL Server Reporting Services, MS SQL...",3 hours ago   -  save job - more...,-  save job - more...,Henry Ford Health System,"1,351 reviews","Detroit, MI 48202 (New Center area)",3 hours ago,
Software Engineer - Backend,https://www.indeed.com/rc/clk?jk=9f37f931999d7b33&fccid=6a1520c3027994ce&vjs=3,Quicken Loans,We’re looking for a talented engineer with a passion and interest in distributed systems and data engineering to help advance our platform....,30+ days ago   -  save job - more...,-  save job - more...,Quicken Loans,"1,127 reviews","Detroit, MI",30+ days ago,
Full Stack Software Engineer,https://www.indeed.com/rc/clk?jk=2b4f536c2847e888&fccid=6a1520c3027994ce&vjs=3,Quicken Loans,"We believe in and build inclusive workplaces, where every voice is heard and diverse perspectives are welcomed....",30+ days ago   -  save job - more...,-  save job - more...,Quicken Loans,"1,127 reviews","Detroit, MI",30+ days ago,
002: Software Developer,https://www.indeed.com/rc/clk?jk=03e805388cff0967&fccid=b3a1023b5c6ec9b8&vjs=3,Delight Consulting Services,Design software or customize software for client use with the aim of optimizing operational efficiency. Analyze user needs and develop software solutions....,14 days ago   -  save job - more...,-  save job - more...,,,"Rochester, MI",14 days ago,
Powertrain Solutions – Software Intern (Starting April 2019...,https://www.indeed.com/rc/clk?jk=2e961138709501ff&fccid=a2faf1301ac6ad4b&vjs=3,Bosch Group,Deep dive analysis improving hardware-software interfaces and developing automated test software for software testing....,17 days ago   -  save job - more...,-  save job - more...,Bosch Group,"3,898 reviews","Farmington Hills, MI 48331",17 days ago,
Principal Software Engineer,https://www.indeed.com/rc/clk?jk=de5476285f6c7f66&fccid=1e9ad4ec5d5add12&vjs=3,Meridian Health Plan,"Assume ownership of software through its lifecycle. This position participates in all facets of the Software Development Life Cycle (SDLC), and their expertise...",4 days ago   -  save job - more...,-  save job - more...,Meridian Health Plan,165 reviews,"Detroit, MI 48226 (Downtown area)",4 days ago,
Full Stack Software Developer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZnTttoiZBMD0jdPYseZb2HEPlZJuoNinGZlKs7M5ZiGScdtnFubRrhVYCEeJ2RC-OTr0gApf1JM0U06crK5UqvK49Na63JwpA6zuL2QeAoa2wTbdRRkUgGR1jD98RC11Nfk6xuELRpBUZj3gO8_8qk5DO4GVhXAyfOxn696VTotX5zriWkTVqwARgPuhSkiL1ZKcEDWV8g288_x6hv4YQqVMDP5yCuuDK8SOGZfEYjXPTBiGxxHWsbbWjRV25OD4Ef3ceBOIDSWnGZCA7d8IwS24wSb31Fozfa8PJUpi0zicFmRKx5EBmChi_Nb81_nARmWb0F1UwX64JgfNSNZuOt-qx0kmhWDXq8nA82rLfbj9og9bVn6GUxKciUQqD4THp6hR8gWhbRVHLjoS3RssICa46N8poianyDjj1Q_31I5zAVwUvZhCWihquBzxKmow=&vjs=3&p=1&fvj=1,Xcentric Mold & Engineering Inc,"Our innovative digital manufacturing technology, along with a proprietary software automation platform and the talent of a highly innovative team, allows us to...",Sponsored - save job,save job,Xcentric Mold & Engineering Inc,4 reviews,,,"Clinton Township, MI 48036"
Bookkeeper,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BaIVkegjODjlbR0XFwGMj497VqQxaW6LQvwPk1VbA7jT7HThxpx9BbZr_hCN-8Wsp0qYDbIVV_cpxf6b1Qlkw7MF8LeallaU63eLV_Hdt2HnCKbm1YWfipNX4BBIeq1egLyyjg8m0gWbYT1Ejkd-YZeNqDwR438jRpS5xFsYz62T9-do4aHIp_hKuOcuK9JVXx5fquGfWna-v9lH0dL2at3HTjPP15sfToVlLXd4TCcXEviRykjERRoZJboGNy5ViiplvyxBAJsDe7mp-wE_nsaminQDD_XLszhDLjaPBLiajn-qtDKNYFumVlg4WdTHCBSJS3IdVHcE7ox4aenST1dmGAFA45ZLN62SmeTh-Ys3W3lZA-rlawjnClo7gZPiDlkQiU2lwLKsnrOiqAb0S1xZkG79qbfdgc91TUf7CcZA==&vjs=3&p=2&fvj=1,OOZE,"Please indicate on your application/resume if you have experience with this software.*. Results driven with a ""get the job done"" mentality....",Sponsored - save job,save job,OOZE,5 reviews,,,"Oak Park, MI 48237"
Administrative Secretary,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADL6lOs_ghYQnffifVcix4o3XUHvtqHTlQU_c5sEARlUZP_v5SXLLVD3sXjOi_BQuCEHKgC238N-LfQ8Zn_N6a-JiF9T0C3D9bKOjdEA3FnGrrMqlc4U-XTQRH0CZ5U9Nl803VpxEk3KuM0l-MT9Aj1Y3fzyHY0RYcKpDsMTfI3ctC7vIYVX61lwZeUZulvkvx5lkr4LU00K959I2CiGTktA7h8d1GZ1QBMclCmyvNuZZURmj0-ailANIOnF3rTB3eJn5EUnOWXA6X9wG6jO54IbThsrjtt3I89nwmXoULkczKV0cmN8m8-r8BZpaQz2W7NfzlLT0mzypPMKLUxsvd7SLSQJyF6gvDdIUBd7AB7c5xNbpm-22ef9u18N2LcLb9gLUlfmaeoSCLMi74Xx9TVtXtlhEmqVlftwIjt96JyY28jKazdzwU&vjs=3&p=3&fvj=1,All Well-Being Services,Type a wide variety of documents using MS Office software with a high skill level and accuracy. Paid time off. Performs other related duties as required....,Sponsored - save job,save job,,,,,"Detroit, MI"
Construction VP of Administration,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_PwyMKm1Xl_7ENILkWIOFOJlttpZkzQx7iBEu5Xvxq22vESVI2MiTWP3lF9-JA3Zv40CLfq4oheKVwxG1S6hiWnj4E6JRPjpRBBLbeplb3hiOBytT3lkKyFLV7-N49YJfpZbvOTKIleg0T7Edhp7HwCGP4gG7Vbh7Y4GQsgYlq3v0ttTrW0mVs90zbeQne3YsU4TpY8ADsIyzYDJoXR3ZVUGF7OrmKXpRuD0WKRphRpx9Awx71Nnm4A7Gxf42qAYc6hMiKIBueDqjWMtNtMcm7D2fWCk9e0gKEExKJmVoa8qrCQR4qHXnHv3-GLQ8psqCFPFpU5u7yCfJXPls793edOn5DH6Zzpzt4kVnXedg_Q4EOQunnQUVyQ1vhP_4xkwtA_9hp7zpSy_iIjnLsytRVOsQV79KfIBzJ0sS8TeO66uCjM7UQF_w&vjs=3&p=4&fvj=1,"G. Peterson Consulting Group, Inc.","Must be computer savvy and familiar with industry software. The ideal candidate will possess a 4 year accounting or business degree, a MBA and be computer...",Sponsored - 22 hours ago   -  save job,-  save job,"G. Peterson Consulting Group, Inc.",3 reviews,,22 hours ago,"Detroit, MI"
Full Stack Developer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cox4EWj1-NZa5kaaM1ymhQaJnJpbs1lct9pKL5cOigP2mCsnSd_y-VzUja9_VzQmU9s7CdG6J0RidQGxIdm1jYJEqcIklrRLucggCwhGxkkDi1SI8tNofvXJ3hIYNiqKQi2rYWfz4zb89VwLeIyuqsza03xn_2fABzbD4RYiPOh0q9NHqjchX5f_NQeaEzmhARPNQFCtktuuK0nZzVUievejl5mYxpUCZZdwtA0tdvmFd8O9x9mXc7Iaqk7cF3Uvtt-ThJuRBJOS12gtMrEjEKLS3uZIlIAn-y-X4-xKPpKmyU5jdm5htmF0WwICknxpFJFUB4wVnD9BPwqXWj5XScYKRHaoGBXn2Rv-wAprSKoSJUD7vDgXTkNFfcpLeJhfz6E74mk_clq36cKNajOf2Ks5F_B161Uc7dN21lmFyjsBeQva4mRZXd&vjs=3&p=5&fvj=1,Fuse Technology Group,"Work closely with the Lead Software Engineer on new and existing applications, examine client business needs to develop solutions and identify and fix bugs in...",Sponsored - save job,save job,,,,,"Ferndale, MI 48220"
Site Lead - Industrial Parts Processing,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AMEjeGogZVBlDpKl96gfxHP2cHCAy0GK0b8jTGKb-OEEl5XQWb1atSluHWlhbxRvQpvlDO7mu-4gqIxiM0H1gDcTAFVIfJMmUE_1pkCMi5GiX1qnPdISN1suZZK1B0eOJeRm4TXc-WV2SZuHeQg_YUlNfxoDuy3rhpUvBDlcveICU35-DUoNawREwUcP25dnLZo-AolLGJXoq5u3K6aBCljiMAjpZmG35TjldBnAS0HS9awDa2Zr-5jF7OSnvBkX7w5ePvWRKzKyp_TmYicxIdMNdJwiMm1x9CxnWxdOyDBaskNdizjXlmaloaQFeGva2cKxIT17UoWdbVxkDbDRxoTqEM41mqaiGCaNruvPQW-gRRSwDok77-uEpRt2E3nzJPkK3l_1iDfDlqRNsQMuMBmZcFtHrl11l5BEy_VClPhrVrU-tG28keWjhtZ14ivVtP5TxeWMRpL65q1BGm3u3Y&vjs=3&p=6&fvj=1,AH Group,Candidate will be working directly at customer site on a daily basis and will be responsible to gather industrial parts from specific areas within the...,Sponsored - save job,save job,,,,,"Flat Rock, MI"
Entry Level Customer Support Specialist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BZocpoA2SzTZ2GiQkZWoNJPwogaSn5DK7EuJc9sdNlvuyfHPDPyg-bccLjUPhPSEge0dJdtEgEGVA3oUjeLIidQZKc5QC3U8-kR09cMbaYSYGGtZ2J2lTgms0InCrGaXxWzFaF-TKDeq7syMYeV_OwjCenBWOLZO7WJR0aX0YM09qq542iHa0vknN33cmiDhHMbwEEgYPvgb92tXjENdmMkQ96uTjUWsPfgNbDEdXB-OMD-5cG3si2njMift8R9jCWoo4KOu1Tvy1Qmt9a2vWhn83tggweXRQeRy-h0aG_bixZyMkxFv2Vgb0Aoah25RSIT1XOE-VscodPNFkd7OpwRnAr86I_Wtb3SKttw7_lL4kBYmTyuQ3D5YbOJykqIwa0lzTZEiNEZQrXoryV4XeP4I47d6yi55P5O3Q1P80zfBv4pQzfkA_ek08bGwp8gT_Njze03b4-LA==&vjs=3&p=7&fvj=1,Open Dealer Exchange,Work together with Customer Support Team to manage the flow of communication and inquiries from our customer base utilizing our customer management software....,Sponsored - save job,save job,Open Dealer Exchange,358 reviews,,,"Detroit, MI"
Medical Software Application Engineer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BL1DyQYBK1tHwoBciZhChALBxjrhsy8rFgUIA85pUFUfbkMvJyYL7aeSJ5QddAEn4b6pQn7KoRLOqk9xPvqfo4j7j4DUl_MnDYwxEKUISb_f_v56VXUPwlxnVsw6tSomkIo-CUwLkKMOk8YPIV9jSgdR-boIJGIym4dE35K3c4kawxx_nH4sn9RHl0tnFBZcrDfIGM6upy1pLzL4cl5bDVi6rGuPYyEKimxVgizWYRwNUBuXkBVlgWhEwCeE3ZTs6iUz8guPQmFoeE4HwMLi738DqU18-T09xtWC4e9KFjO2KNPlGFCBh51mfUiwjwBTB6KHCyzXUx80D1QYzzyAbcloENqX7d8otmqB2PJoqPfaDVjcb-Mvt8fK51FOV09jHumiRPpcHKgz2SIlyibSjOzl4xQS7NfFe6aVwZQIH7bT8JI8OA2x-rYYPTcfDUMeGbptjjHBp5X1SymrS5qmjo&vjs=3&p=8&fvj=1,Materialise,Test and support software during development stage. As a Medical Software Application Engineer you will support the Mimics Innovation Suite of software in North...,Sponsored - save job,save job,Materialise,4 reviews,,,"Plymouth, MI 48170"
Digital Sculptor,https://www.indeed.com/rc/clk?jk=b1df8b700679727c&fccid=761c44c17d636bfe&vjs=3,Ford Motor Company,"2+ years of experience with software knowledge of Alias, Catia, 3D Poly modeling, and Microsoft Office. Ford Product Development is utilizing Design Thinking &...",30+ days ago   -  save job - more...,-  save job - more...,Ford Motor Company,"5,248 reviews","Dearborn, MI 48126",30+ days ago,
Software Developer/Analyst,https://www.indeed.com/rc/clk?jk=b6477e21d6610ab9&fccid=accd2ce890e244c4&vjs=3,Galaxy Software Solutions,"Work with clients to understand existing software and needs for new software system. Galaxy Software Solutions, Inc., Attn:....",5 months ago   -  save job - more...,-  save job - more...,,,"Canton, MI 48187",5 months ago,
Applications Developer(Data Engineer) - STTAS,https://www.indeed.com/rc/clk?jk=a2fff704929c0a10&fccid=fcf465e707df52fb&vjs=3,UNITED PARCEL SERVICE,The Applications Developer performs duties and tasks to support in-house designed and developed software to ensure the continued operation of supported systems....,UPS - 4 days ago   -  save job - more...,-  save job - more...,UNITED PARCEL SERVICE,"31,168 reviews","Southfield, MI",4 days ago,
Senior Software Engineer,https://www.indeed.com/company/Iridium-Digital-Marketing/jobs/Senior-Software-Engineer-6cdababda39a6b5a?fccid=3cb5e896c8714323&vjs=3,Iridium Digital Marketing,Code and test software based upon software specifications and design. Troubleshoot and resolve issues in existing software....,12 days ago   -  save job - more...,-  save job - more...,,,"Detroit, MI",12 days ago,
IT Intern - Detroit,https://www.indeed.com/rc/clk?jk=79ae775cda5a17c6&fccid=6dfafcb81caa0a7c&vjs=3,Jack Morton,"Information Technology, Computer Science, or other degree that prepares students for professional practice in systems programming, software design and computer...",30+ days ago   -  save job - more...,-  save job - more...,Jack Morton,9 reviews,"Detroit, MI",30+ days ago,
HIRING CANADIAN CITIZENS INTERESTED CAN APPLY !,https://www.indeed.com/company/ADD-ON-TECHNOLOGY/jobs/Canadian-Citizen-Interested-Can-6dc93ffac54bc3e0?fccid=ce9884e1204439e5&vjs=3,ADD ON TECHNOLOGY,"We provide software consulting, development, support, maintenance and training services in USA and India. Have a basic knowledge on C, C++, SQL, and JAVA....",10 days ago   -  save job - more...,-  save job - more...,,,"Novi, MI 48375",10 days ago,
Jr. Data Scientist,https://www.indeed.com/company/IMCS-Group/jobs/Junior-Data-Scientist-0d0dfafd04f00b5f?fccid=fb8a60ae2995ecd5&vjs=3,Reliable Software,Passionate and eagerness to work with big IT clients as software consultant. Reliable Software is looking for *Jr....,5 days ago   -  save job - more...,-  save job - more...,,,"Northville, MI",5 days ago,
"Software Engineer Student Intern (S&SE, SM)",https://www.indeed.com/rc/clk?jk=d4ee54f978b47e22&fccid=3b89b9ec324f96c8&vjs=3,Siemens,"Software Engineer Student Internship. Past experience with Siemens software is a plus. With the resources of a large company, and the energy of a software start...",30+ days ago   -  save job - more...,-  save job - more...,Siemens,"8,461 reviews","Livonia, MI 48150",30+ days ago,
Software Engineer,https://www.indeed.com/rc/clk?jk=cad70fb7da36f9e0&fccid=98659ca01be8f652&vjs=3,Lear Corporation,Software Engineer responsible for developing software for Lear’s connectivity products based on a Linux platform....,18 days ago   -  save job - more...,-  save job - more...,Lear Corporation,"1,828 reviews","Southfield, MI 48033",18 days ago,
Web Master,https://www.indeed.com/rc/clk?jk=a13984ec3a80765c&fccid=de41fedc5ca780a9&vjs=3,"S & E Distributor, Inc",We were one of the first companies on the scene in 2011 with our e-cigs and our commitment to going above and beyond when it comes to providing cutting edge and...,5 days ago   -  save job - more...,-  save job - more...,,,"Troy, MI 48083",5 days ago,
Pest Control Technician (experience needed),https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ahj1GUQ67qj10nxwTT5vzz2fpTnuRMtkxAEtQfMg3qOx_JckyG0iPU82TlBexCJyE0h3t9MBpxVE3GqzVWNuV6bMXcDzZCVsqLNHQ0ewvOvpstY9Wht5wted5gIV7PcG4cLbgRHlfuGTAyyqW6IguyKxH1hATI5A6_XGDSnyOQq_VU-bNH9GQTeizWFBC3xVbhyxqBtKZUCNUhXSB1074FPiFF8f96OiNK-t9vxB1yfsUEujmILqM59cW3HAwPDJlk-FELTnDtziJ184H50m9aApZgP3iLWa7nXBm7Oq07qWuCaOICQzCsCE1GdxbCzpXKHGYSPgpsLtFU32ySSmNBQIWvh2Xokr3KXTNi8MjxkjlSq4ASwqBpJfd-I58SU_SZGhGcHWPEPutwYeHCUssGHOkOltWVaxEnZc8TUK0JLppEEw1bKx8nHhkAMXVc1RQ=&vjs=3&p=1&fvj=1,CJB Pest & Mosquito Control,"GPS is in software. Full time techs will receive a generous wage, paid lunch time, paid holidays, accrued vacation & sick time, commissions for up-sells, and a...",Sponsored - 3 days ago   -  save job,-  save job,CJB Pest & Mosquito Control,3 reviews,,3 days ago,"Farmington Hills, MI 48335"
Legal Operations Strategist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BqJjBsvJkVIRVupdyx-l7jJlkPL5nU6SVET5Mq4mDejYAmCerLaj36FZc3yH0JKEQFT650qsN9D-AwbP8bmVZFZi7JdyT8yU1bIsFQs_ApzKkk1rm-0VQL54jMt7oy48Anp4OaKA4magCYwAZqauwMuRoVA0ArdLVJYUyQDKSISq2aOwVd8UMfDXXIC0WBQOK4LkUAUg6k9vgTSvpbosvfiNcNjUIyCGn1ChLCiz2LfZ4AnP5oyTAqnNX08nHxBiEOUkdxIKs7aFYUlYtyojSzuEmD0sOGsjVZ67S2zjVmg9hP39bWHIVl4kJqGMuGVeQpDAcBy8YTJhKpbXVojM64KLVPDNVb90rBCHG65UTZ-oo6Og5K2Ni57bXog-RS-zJmJQ-tFY1Vtmv5-AkgcpAiLKugqdcecyJH89XwRNyg7tJgu1Y5zqmf139-1jWP0dRGT7xxgxnraFrpM48g45VmGaXpH5j_Fz9B1kk8BDQq8xV_I205YsfKJ3XQLMVN5nMQjkEqWibZIZ8H-IDQGYwaZrddJnrNQCL78rnOJzXuJ_0JtsrNksvkmquSmVtpLCQ=&vjs=3&p=2&fvj=0,General Motors,"Expertise in presentation creation and software solutions, including Microsoft PowerPoint and Publisher. Experience with internal communications platforms,...",Sponsored - save job,save job,General Motors,"7,111 reviews",,,"Detroit, MI"
Retirement Specialist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DEYZE5hAp1eDaTZi-tcd6Mwqe6P5bui_YCuPQ68Yxb98e-9-egI9rJVBxzr59cwe9VknkuPRsxSFVE-AZ-sNVgeuk-WorAcscjiNpfCydOZu__azum35Q-yyqTFvTuC9qI5wMYc2MW0IyHvnMdXBCFf-5acEzToI13HlgxlY6fVM7ICVQbGvkaJBQZMA9w_UVEW8Bx-2GpSZ2ehln9Dl8W9ELadt0u0wt3c-hPNuThJHY3Fb82UhHJEc1Tcz2koRBkg00tYVVifTLzM7esi_hC0bIs1cjCE1ceZsI-pLvhsD5TthxS8buVeCqGNUhPR5udTnp-ThkIkl1uAfUYbYQOz2M0MMAALCIzEM6pVBixurArba64BfXPlSifTzIjEJHXd02gVU_QvRL7JM5It7V1zRZiDFXaSjOkJDvflskmQo2zwCZ8P8t1&vjs=3&p=3&fvj=1,GLP & Associates Inc.,Proprietary software & presentation tools at no charge. What we offer:. Paid Training including classroom & field training....,Sponsored - save job,save job,GLP & Associates Inc.,23 reviews,,,"Detroit, MI"
Field Application Engineer ( Home Office near Detroit MI),https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQ0BgX18I10G6uoQ7vFAhySPo543-EiU2WryMBkb_AmY7Ep3qJ4G2RmxulaXh7nbVQ1M4loI9XP3Eg4pdjv1LsDvhLgIFoKT4oUl3jDIQi5hUyHu2p5gvmCnuJ7s5FYrO5wRHqcWQJ3CamXbX4jYrJZvnp_9Ythq3_yN2qr4bjXeLaV_Tptw3rrGcIEeD-SQhseQAmaloMOt4AwLbBXL5Yxy8r0JThry0F72vNfWTf1C-fv1d-vOUMI8Hr3byadjoHU5yOftjqR8wWhGLA1Tb-zTEU6xMU6UzqlMSseJaYAkyQy31GNoOddrmBW-qmhCsdt3N-DOiPSE8sttJfN5PFE9Da355WY38RTJDuzVADZUxqvCIMPzfHglHnyRFe3QP-X2rfArwtDaGc3JG3_DbwrL8ZH8P-CbDLnAQ4waAcfdNAOavWZp0t5_MlNwM0VPXfDcprlDihbPgzHovh2ODRxqCvTJ5lPbmwixLN1JAmnuAh6gAf2x-boDQN47E1Uj_9_X6QnlT19aMabS59AZmWLxZruiJIiozi9rXvOTqGk1VAi6j0Eht44bbIQgQSwCcZJNAuc4obDkTHrN9FOY6XcfcJ2qhuWFJmfbY_Fd0eow1S3RZme4Qg&vjs=3&p=4&fvj=0,"Pasona N A, Inc.",Five+ years of experience using EMC test software. This is a unique career opportunity to shine as a key contributor in opening new markets with the latest in...,Sponsored - save job,save job,"Pasona N A, Inc.",21 reviews,,,"Detroit, MI"
Dispatcher/Customer Service,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ApGkxQMNQxCU_OA17HGupyBbjiUFqQnkzZzvkgxtS8kLJuSZ9F6R1G7Q8DAGAQsQ09l-Ei-oUBmPYmxDdS_XH_zNyzsQ0nF7sr4eYYRuSLY_uJuToAMOQ-SetoSX8PzDIrzbK3j0Y2TlPh1p5oShNYuTrf2pbaN-BQzFe4CBCr7VnL8ozI6QXHt0co3pRZZXSFK7b0uYVpU8l9ar7cCzPFoRe9CAfXaE2ZdhtvSXJRfrsZup_WpbopZw-7BHF4OMSg43Q21jLrdOtBABW57uDQGKxKX0IPte5KWukWr1v3Wjg15JH2qck65J66zziqm0jI1PKfVr-PQ4Kdyekqo0pB9GViqEV8uTR5YMsEckRgtlztK6InltDID4iFB3aqptm9ddmO2TXMPv-MwULtHhZGmoEERW1BrFPFxN2qKUwZtwtPdmHkHQGZ&vjs=3&p=5&fvj=1,ADCO LOGISTICS,"Knowledge of PC Miler, Load Link, FAST, ACE/ACI, E Manifest, Satellite tracking, HOS, and other transportation related software is an asset....",Sponsored - save job,save job,ADCO LOGISTICS,15 reviews,,,"Lincoln Park, MI"
Software Engineer,https://www.indeed.com/rc/clk?jk=9f4a7257503a6e7a&fccid=518acc75d1476dc2&vjs=3,XPO Logistics,"Be part of something big. 2 years of software development or related experience. As the Software Innovation Engineer, you will be responsible for developing the...","XPO Logistics, Inc. - 10 days ago   -  save job - more...",-  save job - more...,XPO Logistics,"4,411 reviews","Southfield, MI 48034",10 days ago,
Mobile Application Developer,https://www.indeed.com/company/Thirdware-Solution-Ltd/jobs/Mobile-Application-Developer-21371a2729679e77?fccid=929a8def97d6c3ce&vjs=3,Thirdware Solution Ltd,Do you see the big picture on the opportunities. Modern software development skills (familiarity with model-view-controller framework)....,13 days ago   -  save job - more...,-  save job - more...,Thirdware Solution Ltd,8 reviews,"Livonia, MI",13 days ago,
Internal Help Desk Intern,https://www.indeed.com/company/Federated-Service-Solutions/jobs/Internal-Help-Desk-Intern-c5138c203103ee34?fccid=75fe55507dd4ffa0&vjs=3,Federated Service Solutions,Someone who knows how to troubleshoot Windows-based PCs and Laptops as well as install operating systems and software applications. What you'll be doing:....,14 days ago   -  save job - more...,-  save job - more...,Federated Service Solutions,12 reviews,"Detroit, MI",14 days ago,
Systems Software Engineer (Embedded),https://www.indeed.com/rc/clk?jk=9967de206490a4b3&fccid=761c44c17d636bfe&vjs=3,Ford Motor Company,"Deliver innovative and cutting edge software. Experience with software version control (Git). Livio, a wholly owned subsidiary of Ford Motor Company, is seeking...",5 days ago   -  save job - more...,-  save job - more...,Ford Motor Company,"5,248 reviews","Royal Oak, MI",5 days ago,
Software Developer,https://www.indeed.com/rc/clk?jk=627aabac6ba399eb&fccid=362379dcfaa2c0b2&vjs=3,Ikon Software Services,"Send resume to Ikon Software Services, L.L.C., 24155 Drake Road, Suite 123, Farmington Hills, MI 48335. Perform complex tasks including the formulation of...",12 days ago   -  save job - more...,-  save job - more...,,,"Farmington Hills, MI 48334",12 days ago,
Microsoft Excel and VBA Developer,https://www.indeed.com/rc/clk?jk=013ea1338f414e43&fccid=6594ab616b44307f&vjs=3,Link Engineering Company,Provide technical support for report templates and related software. Pursue your passion. We are looking for a talented Microsoft Excel and VBA Developer who...,7 days ago   -  save job - more...,-  save job - more...,Link Engineering Company,4 reviews,"Dearborn, MI 48120",7 days ago,
