date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-22, Bay Host,"Brooklyn Center, MN",Current Employee ,This is my Fun job,This is my Fun job,0,"Upbeat associates, Good Perks, Caring Culture, Promote from within, Hire on your personality","Low wages for non tipped associates
Late hours","Buy a silverware rolling machine, Be more recycle friendly, consult locals before opening a cold weather venue for all that could go wrong",5.0,3.0,5.0,4.0,3.0,4.0
2019-03-21, Server,"Gilbert, AZ",Former Employee ,Server,Server,0,"Great pay, good benefits, great people",Managers are extremely biased and aren’t the greatest,,4.0,3.0,3.0,5.0,4.0,2.0
2019-03-21, Bartender,"Chicago, IL",Former Employee ,"Great place to work, but cult-like","Great place to work, but cult-like",0,"Great benefits, great work environment",very poor management at my location,,4.0,4.0,4.0,5.0,5.0,4.0
2019-03-20,,,Current Employee ,Fun Place to Work,Fun Place to Work,0,"Great associates, fun environment, good perks","Sometimes, managers can be hard to find when needed",,4.0,4.0,5.0,4.0,4.0,4.0
2019-03-19, Golf Services,,Current Employee ,Good Environment and Culture,Good Environment and Culture,0,Great place to work part or full time. Staff is friendly and overall company culture is good.,Scheduling can be difficult at times to be consistent,,4.0,3.0,5.0,3.0,3.0,4.0
2019-03-18, Event Sales Administrative,"Tampa, FL",Former Employee ,Great Culture,Great Culture,0,great culture and perks,"poor leadership can stall development
becoming more and more corporate",,5.0,3.0,5.0,5.0,4.0,4.0
2019-03-17, Bayhost,"Orlando, FL",Current Employee ,Bayhost,Bayhost,0,"Met amazing people
Consistent money
Opportunities for growth
Flexible schedules","long hours,
guest can sit in your section for hours and are not required to order food/drinks",,4.0,5.0,5.0,4.0,4.0,4.0
2019-03-31, Lead Office Administrator,"Huntsville, AL",Current Employee ,Okay Job,Okay Job,0,"Great culture, fun environment, good opportunities",Low pay rates. Inconsistent changes.,,3.0,4.0,5.0,3.0,3.0,4.0
2019-03-29, Bayhost,,Current Employee ,Decent,Decent,0,"Easy job, fun atmosphere, cool benefits",Management is all over the place,,3.0,,,,,
2019-03-27, Caddie,"Columbus, OH",Former Employee ,Not too bad,Not too bad,0,Good environment and positive vibes,Terrible communication with hourly associates,Be more direct and effecient,3.0,,,,,
2019-03-11, Director,"Dallas, TX",Current Employee ,Best company I've ever worked for!,Best company I've ever worked for!,0,"Opportunities to truly make an impact
Phenomenal culture
Senior leadership embraces and models core values of Caring, Fun, One Team, Excellence and Edgy Spirit
Mega growth opportunities","It's a growing company so there is a lot of work to be done - you have to take ownership of your own work/life balance, but the company is supportive.",Communication is key. Topgolf does a great job of communicating with its Associates - keep it up!,5.0,5.0,5.0,5.0,4.0,5.0
2019-03-08, Team Leader,"Overland Park, KS",Current Employee ,Best career choice I’ve ever made,Best career choice I’ve ever made,0,The culture and environment is amazing. You can branch out and learn a lot. You aren’t limited.,I personally love what I do on a daily basis. I don’t have anything poor to say!,"Keep striving, and never look back. Topgolf is going in a great direction.",5.0,5.0,5.0,5.0,5.0,5.0
2019-03-06, Golf Services,,Current Employee ,Trying to make money,Trying to make money,0,"The environment is very fun, amazing coworkers","Say goodbye to weekends, Crazy two face managent, horrible shifts",,4.0,2.0,3.0,4.0,3.0,3.0
2019-03-06, Bayhost,"Midvale, UT",Current Employee ,Fill with enthusiastic people who try to make improvements for the company.,Fill with enthusiastic people who try to make improvements for the company.,0,Chill environment where you grow,"Promote by favoritisms, brown noses everywhere",Try and look at the people who work hard and aren’t sucking up to you.,4.0,4.0,5.0,5.0,5.0,4.0
2019-03-04, Management,"Alpharetta, GA",Former Employee ,Great Experience,Great Experience,0,"Very fun, the time during every shift goes by very quickly.",Always moving on your feet. Can get exhausting at times.,Keep up the good work and fun spirit,5.0,3.0,5.0,5.0,5.0,5.0
2019-03-17, Bayhost,,Former Employee ,Nope,Nope,0,It’s a fun place to work,You make no money at all,Learn how to hire,3.0,,,,,
2019-02-24, Shift Lead,"Edmond, OK",Current Employee ,Guest Services Lead,Guest Services Lead,0,The environment is amazing. People are genuine and kind. Can tell the people who work hard and push them to the right spots. Good all around training. Great core values.,Sometimes deal with less experienced workers (mainly high school kids). Good people learning proper work ethic.,,5.0,5.0,5.0,5.0,5.0,
2019-03-13, Bayhost,"Centennial, CO",Current Employee ,Decent job if you can ignore immature management,Decent job if you can ignore immature management,0,Good money and fun work environment,"No consistency with management. Some are great, others are duds.",,3.0,3.0,3.0,5.0,3.0,3.0
2019-03-13, Hospitality Manager,,Former Employee ,Long hours... it’s just a restaurant,Long hours... it’s just a restaurant,0,Fun environment but gets old quick.,It’s just a restaurant. Waitresses can make ok money but it’s hit and miss since the Customer is already paying $45/hour to be there they tend to skimp on the tips. Loooooong hours. Open 8am-1am. Same hassles as any other big chain restaurant except you’re dealing with 150 tables,,2.0,2.0,3.0,2.0,1.0,1.0
2019-02-25, Bayhost,,Current Employee ,Great Place To Work,Great Place To Work,0,Great work environment// flexible schedule,Some bad areas to work in,,5.0,,,,,
2019-04-02, Golf Services,"Phoenix, AZ",Former Employee ,Losing Its Steam,Losing Its Steam,0,"Wonderful People, Fun Environment, Beautiful Locations","No communication amongst the Departments, Human Resources issues, Lazy Managers, Lacking Business Integrity, ""Do as I say, not as I do"" attitude",Take more care of your people instead of caring about your profit margins.,1.0,1.0,1.0,2.0,3.0,1.0
2019-02-26, Lead Bartender,"Charlotte, NC",Current Employee ,Great Benefits,Great Benefits,0,The culture and fellow associates make it fun to work. Always busy and always a long wait.,"People come to TopGolf to play golf, not to sit at bar. So it’s more lucrative to be a Bayhost than bartend money-wise.",Be floor present to help us with any guest-related issues.,4.0,4.0,5.0,4.0,5.0,5.0
2019-02-25, Team Lead,,Current Employee ,Great place to work!,Great place to work!,0,Such a fun atmosphere! Great potential for moving up within the brand!,Not really a lot of cons...,,5.0,5.0,5.0,5.0,4.0,4.0
2019-03-10, Team Lead,,Former Employee ,Ok,Ok,0,"Fun environment With
Long hours.",Loves to hire from other companies. Not within for upper managements,Hire more from within instead of outside,3.0,1.0,2.0,2.0,3.0,4.0
2019-02-22, Operations Manager,,Current Employee ,Great place to shine!,Great place to shine!,0,Flexible systems that compliment new strategies and ideas to add to our culture.,"Finance is still trying to find their balance, and at times may over step operations in their pursuit of efficiency.",Our brand is powerful because we put our people and guest first. Saving a penny in hopes that the guest won’t notice isn’t going to keep us growing strong.,5.0,4.0,5.0,5.0,5.0,5.0
2019-03-28, Bayhost,,Former Employee ,Terrible management,Terrible management,0,"Make friends, half off on food and free gameplay","Terrible management, understaffed, management don’t listen to associates",Start listening to associates,1.0,3.0,3.0,3.0,3.0,1.0
2019-02-19, Bay Host/Event Ambassador,,Current Employee ,Great company,Great company,0,Great money and great people,Physically demanding and long shifts,,4.0,2.0,5.0,3.0,3.0,2.0
2019-02-19, Bayhost,,Current Employee ,Good Serving Job,Good Serving Job,0,Great people to work with and make lifelong friends,Management makes you just another statistic even though they say they care about associate development,,4.0,3.0,3.0,5.0,5.0,3.0
2019-03-05, Guest Service Associate,"Denver, CO",Former Employee ,"Great People, Many Issues","Great People, Many Issues",0,"- Great Coworkers
- Fast paced work environment","- Favoritism is very rampant within management
- Either over or under staffed, which means either you may not be able to get hours or you will be worked hard
- Some guests can be very rude or outright aggressive
- Management is often out of touch with its employees and the venue
- ""Family Meal"" (employee meal) is VERY hit or miss
- Hours can be rough and inconsistent (I once worked from 3:45 PM - 2:15 AM on a Friday night with only one 15 minute break and a small plate of rice to go on)
- Employee turnover is VERY high in ALL departments
- Management is often hypocritical / plays favorites when enforcing rules
- Lack of cooperation across departments","I think that creating a more positive work environment would help a lot of the problems. Additionally, I think that creating stronger bonds with people across departments and with management may reduce the favoritism that is rampant and help reduce the high employee turnover.",2.0,3.0,5.0,2.0,2.0,2.0
2019-02-14,,,Current Employee ,Bayhost,Bayhost,0,Super fun environment to work in and the people are great,None other than sometimes it gets cold outside,,5.0,,,,,
2019-02-13, Bayhost,"San Antonio, TX",Former Employee ,Great work environment,Great work environment,0,Great work environment always fun and exciting,Outdoors can be extremely hot or cold,Management was great about addressing concerns in a timely manner,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-28,,,Current Employee ,Lacking Integrity and Structure,Lacking Integrity and Structure,0,- building great relationships with coworkers,"- corporate is often out of touch with local establishments, leading to confusion and blame being placed on establishment
- quick to promote people who have no concept of their job requirements due to favoritism
- constantly turns a blind eye to prejudice and racism in the work environment, creating an uncomfortable work environment
- does not get full footing before moving onto next expansive project","- be mindful of who you have in prominent positions
- do not ignore racism
- ensure other managers have an understanding of the jobs they are managing before putting them in charge",2.0,3.0,2.0,2.0,3.0,2.0
2019-02-08, Model Bayhost,"Las Vegas, NV",Former Employee ,Awesome,Awesome,0,Great sense of community and fun atmosphere,Some of the trainings were long and pointless,,5.0,5.0,5.0,5.0,5.0,4.0
