date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-09-13,,,Current Employee ,Fantastic company!,Fantastic company!,0,A professional and fun work environment that challenges you to be your best every day.,Expect to be continuously learning and developing your skills.,,5.0,4.0,4.0,5.0,5.0,5.0
2018-07-30, Human Resources,"Plymouth, MI",Former Employee ,Be Aware,Be Aware,0,A few friendly employees & professional display. Salary is competitive.,"Lack of structure/organization in several vital departments. Cold culture and little diversity in gender/race. High employee turnover rate, constantly hiring.",,1.0,1.0,1.0,3.0,2.0,2.0
2017-05-18,,,Former Employee ,Technician,Technician,0,"Salary, Great Facility, very clean and tidy.",Expect long hours as the standard.,Respect the employees a bit more,3.0,1.0,3.0,2.0,5.0,2.0
