date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-05-10,,,Current Employee ,"Good Company, Good People, Good Clients","Good Company, Good People, Good Clients",0,"Supportive environment, great coworkers, overall a very nice working environment. Working with libraries and schools, so supporting education and helping others succeed. Very good salary and benefits package. Working from home a nice plus.","It's a small team and everyone multitasks so sometimes it gets a bit hectic. When working remotely you must be well organized and self-starter as there is not much dedicated training. Career growth somewhat limited, with it being a small company.",,5.0,4.0,5.0,4.0,5.0,5.0
2018-08-03,,,Current Employee ,Software Developer,Software Developer,0,You will work on great technologies and would be a good learning experience.,"you will be working remotely so for those who need the office culture, this is not the company you should be looking out for.
You will have to put in extra hours of work compromising on your work-life balance.",Hire more developers to reduce the burden on the existing employees,4.0,3.0,3.0,4.0,5.0,4.0
2016-11-05, Anonymous Contractor,"Lexington-Fayette, KY",Current Contractor ,Fun place to work!,Fun place to work!,0,"Springshare has a great reputation in the library world. Super flexible vacation & schedule policies, good pay.","A little frenetic at times, understaffed.",,4.0,4.0,4.0,4.0,4.0,4.0
2018-01-12,,,Former Employee ,em...,em...,0,"Work remotely, but that's changing
low turn over rate, but that was before
collaborate and friendly working env.
still the marketing lead. e.g. libguides","After fast growth for several years, the sales stalled, and the party is ending. Previous benefit were cutting, rules were restricting and people are start leaving or laying off.
supports were overloaded in summer and techies were over burned in fall
lack of personal growth
micromanagement",,3.0,2.0,3.0,3.0,3.0,3.0
