date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-01-28,,"Greenwood Village, CO",Current Employee ,Great Place to Learn and Grow,Great Place to Learn and Grow,0,"- Fun environment
- Great team
- Amazing PTO policy
- Fun impactful work
- Great leadership
- Solid direction","- None that I can think of at this time, it's been a perfect fit!",-Keep the momentum going!,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-11,,"Denver, CO",Former Employee ,Bad treatment,Bad treatment,0,"some great people work there
snacks","poor leadership
bad treatment of analysts & employees
culture can be toxic
high turnover
low pay",listen to employees who tell you there's a problem,1.0,2.0,2.0,1.0,1.0,1.0
2019-01-03,,,Current Employee ,Never Stop Learning,Never Stop Learning,0,"- A continuous learning environment with supportive feedback along the way
- Evolving career paths to grow with the company
- Unique and meaningful professional experience
- Life-altering lessons and skills","- The work-life balance can be challenging. However, it is in our company's DNA to do whatever it takes to meet deadlines or to help a teammate, making it worth the extra time commitment.",,5.0,3.0,4.0,5.0,4.0,5.0
2018-12-18, Sales,,Current Employee ,Like getting an MBA,Like getting an MBA,0,"Love working with professionals, top to bottom
Plenty of talent to learn from
Great working environment, fun but professional
Customers love our product
Start up feel but established outlook","Noting major, they are always trying to improve our environment","Deliver on promises
Overcommunicate",5.0,4.0,5.0,4.0,5.0,5.0
2018-12-06, Director of Business Development,"Denver, CO",Current Employee ,"Unique, one of a kind opportunity","Unique, one of a kind opportunity",0,"Growing quickly – immense opportunity to ""climb the ladder"" in a short period of time. Employees with grit and a solid envisioned path will have a very good chance of establishing themselves in a prominent position.

Fast pace and challenging atmosphere – the days fly by.

Unlimited PTO – HR ensures that each employee takes at least 3 weeks PTO.

Each employee has a hands on impact on the success of the company.

Ambitious mission and vision for the future of the company.","Subject to largely scale in the next couple years (Positive) and is inevitably subject to associated growing pains – employees need to be prepared and buckled in.

Compensation for certain positions is not highly competitive –however this tends to be balanced in good compensation for overtime work and equity packages in the company.",,4.0,3.0,3.0,4.0,3.0,4.0
