date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2015-10-20, Business Service Representative,"Southgate, MI",Former Employee ,Great place to work!,Great place to work!,0,Great benefit package. You start with 3 weeks personal time that you can use in 15 minute increments making it east to take time off whenever needed. Great team and management. Job is very fulfilling and you go home every day feeling like you made a difference in someone's life.,Building is fairly old. Customers and get difficult on occasion. Most jobs are dependant upon federal finding year-to-year. Most senior level jobs are held by those with 30+ years with the DCC making it tough to really advance beyond middle management.,,5.0,5.0,5.0,4.0,4.0,5.0
2018-03-08, Career Specialist,,Current Employee ,"Great Co-workers, Understanding Mgt","Great Co-workers, Understanding Mgt",0,"Great co-workers; understanding management (for the most part); there really doesn't seem to be the back-stabbing and undermining that happens in so many companies today, decent work environment; you don't take you work home with you.",Very low pay; it gets tiring repeating the same thing to customers day after day after day...,,4.0,5.0,4.0,2.0,2.0,4.0
2017-07-26, Title,"Southgate, MI",Current Employee ,Times are changing,Times are changing,0,Enjoy assisting interested customers to find their way...,Horrible for internal growth prospects unless you have internal connections with the CEO and his friends!!! Pay is absolutely below standard for this type of work and needs to be investigated. Staffing is always changing and have seen allot of turn over in the last 5 years - wonder why? Constant complaining from staff and customers takes a toll on one's person and energy,"How about management take a pay cut, so that front line/other can have some of the cash we have worked hard to earn?",2.0,3.0,3.0,2.0,3.0,1.0
2017-02-02, Career Specialist,"Southgate, MI",Former Employee ,Good place and like family,Good place and like family,0,"organization is like family and really cares about the workers, offer training and career development. Offers fairly decent benefits Hours are consistent",pay is too low for the patience and diligence it takes to deal with angry customers. Offer more classes for career development for the patrons. workshops should be offered regularly and consistently,Continue professional development for all departments. Have a security guard present and in sight at all times. Allow patrons to use flash drives. Increase pay for staff and you will get increased morale.,4.0,5.0,4.0,3.0,3.0,4.0
2016-05-10,,,Current Employee ,Instructor,Instructor,0,"Good leadership, easy going work environment. Excellent benefits","Pay could be more, no real opportunity for advancement.",,4.0,,,,,
2014-08-19, Maintenance,"Southgate, MI",Former Employee ,Excellent!,Excellent!,0,"Friendly, family like staff. Excellent work/life balance. Senior management treated employees well.","I can say that in my experience there, I had nothing negative to say regarding this employment tenure.",,5.0,5.0,5.0,3.0,5.0,
2014-07-31, Career Specialist,"Detroit, MI",Former Employee ,Love the company,Love the company,0,"employees, management, just an overall great company to work for","locations, job security, It is a non profit organization in which your job depends on contracts",,5.0,4.0,5.0,2.0,2.0,4.0
