date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-01-14,,,Current Employee ,Current Employee,Current Employee,0,"Exceptional product run by amazing people
Consistently challenged and motivated to succeed",This is less of a con than a simple truth. To disrupt an industry with technology takes time and energy. You have to have a certain mindset to be apart of the company,,5.0,3.0,5.0,5.0,5.0,5.0
2018-01-24,,"Oakland, CA",Current Employee ,Great for self-driven employees,Great for self-driven employees,0,Great location and very friendly employees.,They need to hire more people to keep up with technology growth.,,5.0,5.0,5.0,,,
