date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-17,,,Former Employee ,Advantages and disadvantages,Advantages and disadvantages,0,There is lot to learn especially when you are in manufacturing department related to mechanical works as all company this also focus on production and meeting demands of its clients,Progress of the employees on post delays so much from years and also they lacks labour satisfaction and employees duty time I'd day and night also,They should be flexible on overload to the labour and employees and also there should be promotion of hard working emoloyees,3.0,2.0,1.0,2.0,1.0,2.0
2018-06-17,,,Current Employee ,Working Culture,Working Culture,0,"Chances to prove your worth, management provides opportunity to excel","Poor fund management, dependency on old and inefficient employees.",,3.0,1.0,2.0,3.0,2.0,3.0
2017-09-08,,New Delhi (India),Current Employee ,Sales Manager,Sales Manager,0,"Good Salary, Boss is very good",Very poor support from back office and parent co.,,2.0,3.0,2.0,1.0,1.0,
2015-06-06,,,Current Employee ,Quality Engineer,Quality Engineer,0,"Great place to work as the managers support personnel development.
Economic benefits are good and company takes care",Top management not always very approachable,,5.0,4.0,4.0,5.0,5.0,4.0
2014-11-14, New Product Development Engineer,"Aligarh, Uttar Pradesh (India)",Current Employee ,It is a good industry to teach you Industrial Skills. It works on a core Mechanical Concept.,It is a good industry to teach you Industrial Skills. It works on a core Mechanical Concept.,0,If you are starting your first job then surely this is amazing industry to teach you all Quality tools from basic to high level.,There is no exposure to your career and they will not promote on performance.,My single advice to management is only to appreciate other's performance.,3.0,3.0,3.0,2.0,2.0,3.0
