date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-05-04, Anonymous Intern,,Former Intern ,Great place to work,Great place to work,0,"Calm, relaxed environment. Strong synergy between the development and design teams.","Most work is conducted through Slack, some projects can get disorganized due to employees in different time zones.",,5.0,5.0,5.0,4.0,5.0,4.0
2018-01-04,,,Current Employee ,Promising Company,Promising Company,0,"- Great team of developers with a wide range of experience
- Flat and transparent company structure, easy to get involved with different tasks
- Relaxed environment and lenient with working from home, as most work and conversation is done over Slack
- Open and flexible offices with room to grow
- Solid benefits","- The company is split between Louisville and DC, with many people working remotely or often from home. While the option is great, it can limit company culture.",,5.0,5.0,4.0,5.0,4.0,5.0
2014-09-17, Anonymous,,Former Employee ,Great work experience,Great work experience,0,Loved working so closely with other developers,Sometimes could not get as much guidance as I needed,,4.0,5.0,5.0,5.0,5.0,5.0
