date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-01-16,,,Former Employee ,Fantastic company,Fantastic company,0,"* Great people
* Technically interesting, cutting-edge product
* Lots to learn
* The founders really care about making it a great place to work, and care about all employees' well-being
* Free Fridays - work on whatever you want one day a week","Not much, to be honest",Pay attention to the culture as the company rapidly grows,5.0,5.0,5.0,5.0,5.0,5.0
2018-08-20, Software Engineer(Internship),"New York, NY",Former Intern ,Incredible place,Incredible place,0,"Very transparent culture
Smart people with open minds all around
Great ""life/work"" balance
Interesting and complex product with, hopefully, bright future
Almost full product is open-sourced
Free Fridays
Flexible hours","Personally, I had trouble switching from work when I came home - kept on thinking about the problems I'd been solving because I found them very interesting (not sure if it's a con and the company's fault though)",Keep the transparency,5.0,5.0,5.0,4.0,4.0,5.0
2017-09-20,,,Current Employee ,special place,special place,0,"Cockroach considers each person's perspective, making you a contributor to all aspects of the companies success.",at a loss on this one,,5.0,5.0,5.0,5.0,5.0,5.0
2017-01-23,,,Current Employee ,revolutionary company,revolutionary company,0,"- Great open source project
- Great team
- running a big revolution to shake up databases",- startup company with some risk,,5.0,,,,,
2016-04-04,,"New York, NY",Current Employee ,Great place to work!,Great place to work!,0,"Greatly value the product as well as the people that make Cockroach Labs such an amazing place to work. An additional factor is the founders. All three founders come from a history of contributing to the open source world – two of the founders created the GIMP from their dorm room in 1995. This lends to a culture that is open, transparent, where individuals can self-manage and are held accountable for the work they do. Also, solid work/life balance with dedicated 20% time called Free Fridays.",No downsides at this time.,Management is doing a great job in ensuring that they are open and transparent with communication. Continue to share and listen to your employees as we grow. It's a component that we all value!,5.0,5.0,5.0,5.0,5.0,5.0
2016-03-23,,,Current Employee ,Excellent startup in all ways,Excellent startup in all ways,0,Top-notch engineers building important products. Truly open and constructive culture. Lots of autonomy and opportunity to learn and make a serious impact.,"For a startup of this size, no cons.",,5.0,,,,,
