date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2017-03-28, Manager,"Dongguan, Shaanxi (China)",Former Employee ,Manager,Manager,0,"Good company , pay well","Nothing do much , in general all goids",More respectfully,5.0,3.0,3.0,5.0,3.0,3.0
2017-04-19, National Contact Centre Manager,Sydney (Australia),Former Employee ,National Contact Centre Manager,National Contact Centre Manager,0,Was within the airline industry,Very bad culture and too much politics,Develop a better culture amongst staff,1.0,3.0,1.0,1.0,1.0,1.0
2017-03-09,,,Former Employee ,Key Account,Key Account,0,"Stable, free working enviorment and good relationship",No fast grow for career,,4.0,,,,,
2017-03-02, Flight Attendant,"Guangzhou, Guangdong (China)",Former Employee ,not bad but not good,not bad but not good,0,easy to work with,"low payment,very low....cant afford life payout",give more money to staffs!!!!!!!!!!!!!!!!!,3.0,2.0,1.0,3.0,2.0,2.0
2017-02-12, Flight Attendant,"Guangzhou, Guangdong (China)",Former Employee ,Purser,Purser,0,Fourth Largest Airlines in the world,"bad management, low income in the first year.",care stuffs more,3.0,2.0,1.0,4.0,3.0,2.0
2016-09-22, Airline Operations Officer,"Heathrow, England (UK)",Former Employee ,CS airlines stationed at heathrow,CS airlines stationed at heathrow,0,"generally very friendly people to work with in the company and associated companies that you may work alongside at heathrow.
your allocated days in your work schedule are flexible in my case but this is dependent on your supervisor i suppose.","wage is not great especially compared to others in the same position at other airlines.
you don't really receive much in the way of benefits and any bonuses are strangely not really related to your performance but how well the company does.
you will have to work long hours and overtime especially if there are delays and you will not be paid for this.
They will not want to give you a raise, no standard annual wage increase and if you ask they seem to react as if it's a taboo. I never received a raise in my wages while working there.
Not really any chance for career progression or advancement in your skills.

All these reasons contributed to me thinking they only really regard their employees as simple labour just to ""get the job done"" although they are still generally very friendly.",be open to wage increases and adding benefits as well otherwise any workers employed will not want to stay there long term as was the case with myself.,2.0,2.0,2.0,1.0,1.0,3.0
2016-09-20,,"Guangzhou, Guangdong (China)",Current Employee ,Product manager,Product manager,0,Good employee benefit and have free time if you can get balance between work and life.,Too many internal communication and slow process if you want to do real thing. You should know how to negotiate and more patient.,,3.0,4.0,2.0,2.0,3.0,2.0
2016-07-10, Vip Conseil,"Guangzhou, Guangdong (China)",Former Employee ,good working environment,good working environment,0,"high salary , pension , house","irrugular work time , long time work",bien prepare,5.0,4.0,5.0,4.0,4.0,5.0
2016-01-06, Staff,Seoul (South Korea),Former Employee ,Staff,Staff,0,"One of the biggest company in the world, free tickets,
Have good opportunity to experience working in airlines. A a a a","Low wages, Chinese mind. A a a a a a a a a a a a a a a a a a a a",Need to increase wages,2.0,3.0,2.0,4.0,2.0,3.0
2015-12-26,,,Current Employee ,Operation Officer,Operation Officer,0,Friendly working environment and fair staff benefits,Lower payment compared with similar position in this industry,,2.0,2.0,2.0,2.0,2.0,2.0
2015-12-10, Sales,Kuala Lumpur (Malaysia),Current Employee ,Bad Staff Benefit,Bad Staff Benefit,0,Location is easily accessible with public transport.,"Bad staff benefit, need to clock time in and time out, need to wear uniform even though working in sales department, medical claim only limited to RM35 which is ridiculous, no annual leave for the first year of working, no salary increment, such a difficult task to liaise with head office colleauges","Stop imposing stupid rules, please lead us like a leader.",1.0,5.0,1.0,1.0,1.0,1.0
2015-03-22,,,Former Employee ,account manager,account manager,0,stable and good balance between life and work,"lack of innovation, too many levels of management",assign authority to the team and build the group dynamic,4.0,3.0,2.0,3.0,3.0,2.0
2015-01-04,,,Current Employee ,"10 years experience in the airline industry, revenue management and sales & marketing","10 years experience in the airline industry, revenue management and sales & marketing",0,"biggest airline in Asia, the third biggest in the world",take time to be an international airline,,5.0,,,,,
2014-06-13, Sales Representative,"Guangzhou, Guangdong (China)",Current Employee ,Poor Man's Employment,Poor Man's Employment,0,Free air travel from Guangzhou (only) to anywhere CZ flies,"You will never, ever get a raise or retirement benefits",Treat the foreigners the same as you do your local staff,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-14, Pilot/Captain,"Guangzhou, Guangdong (China)",Current Employee ,"Too many flights,few rest.","Too many flights,few rest.",0,Chance to fly the b787 and a380,How to keep ur GoodHealth,Be fare,2.0,1.0,4.0,4.0,2.0,2.0
2014-02-13, Research Assistant,"Dalian, Liaoning (China)",Current Employee ,OK but should be improved,OK but should be improved,0,"It is good to work for them, but the data required by the project is lacking. Maybe this is because the data system is still being developed.",Limited cooperation was demonstrated in the project.,,4.0,3.0,3.0,3.0,2.0,3.0
2013-10-31,,,Former Employee ,Nice Company but Not Professionally Managed,Nice Company but Not Professionally Managed,0,I worked in the communication department at the headquarters in Guangzhou. It is a fancy place with many creative person. The space for you to create your own idea is sufficient.,"Because of it is a state own company, the management style is really bureaucratic and lack of youth power. Canteen is a disaster and no one want to spend a 5-yuan meal in it.",,4.0,,,,,
2013-10-23, Captain,"Guangzhou, Guangdong (China)",Current Employee ,pilot,pilot,0,"no expiration contract ，lots of new airplans coming, chance to fly latest version aircrafts","no freedom to quit，no fare for employee, they would change the rules aft they break rules",nil,2.0,1.0,3.0,4.0,3.0,1.0
2013-03-29, Sales Representative,"Guangzhou, Guangdong (China)",Former Employee ,work life balance,work life balance,0,"good salary , not much pressure, the third big airline company in china, you can have great opportunity to travel around",not much opportunity for individual improvement,more efficient HR,3.0,4.0,1.0,2.0,3.0,3.0
2012-10-17, International Route Supervisor,"Guangzhou, Guangdong (China)",Former Employee ,international route supervisor,international route supervisor,0,"good work-balance, good benefit; people are nice. Matrix organization so a pretty hierarchy organization.",Matrix organization so a pretty hierarchy organization. complicated process inside the company,,4.0,4.0,3.0,3.0,4.0,3.0
2010-12-25, Captain,,Current Employee ,"good memory in the past, a bit puzzle in the future","good memory in the past, a bit puzzle in the future",0,"Being a pilot is a good job in china,and China southern offer me this oppotunity and train me well","personal growth in the future is not very clear,too much human relationship to due with.",feedback from the staff is very important,4.0,2.5,3.5,3.5,3.5,
2010-11-07, Pilot/Captain,"Wuhan, Hubei (China)",Current Employee ,pilot in rpchina,pilot in rpchina,0,"A exploitee who have to be there, cos there's a open-ended contract.","open-ended contract, overlength duty time","nothing,useless",3.0,2.0,3.5,2.0,3.0,
2010-01-08, Director,,Former Employee ,If you want to work in little pressure,If you want to work in little pressure,0,A company never fires people.,"Unfair promoting system, too many relatives of the management in the company doing nothing but got promoted",Be a low-cost or low-cost like airline.,3.0,4.5,2.5,2.0,3.5,
2018-08-24,,,Former Employee ,Assistent,Assistent,0,"Lockere Ätmosphere, Leichte Aufgaben, Lockeres Management","Schlechte Gehalt, Management in Chaos, Keine Teamgeist",,2.0,5.0,3.0,3.0,1.0,1.0
